"Name";"Total Passengers 2017"
"Pouxeux";12727
"Pouzauges";677
"Précy-sur-Oise";35262
"Prades - Molitg-les-Bains";5208
"Praye sous Vaudémont";1918
"Preignac";5037
"Presles - Courcelles";330174
"Prin-Deyrançon";5675
"Pringy";25311
"Prissé-la-Charrière";6150
"Prouvy - Thiant";1159
"Provenchères-sur-Fave";4338
"Provins";644123
"Prunay";5449
"Pruniers";6212
"Puget-Ville";39201
"Pulligny - Autrey";1349
"Puteaux";3103833
"Puybrun";916
"Puyoô";41228
"Quédillac";10624
"Quesnoy-le-Montant";431
"Quesnoy-sur-Deûle";735
"Questembert";119788
"Quiberon";102059
"Quillan";10237
"Quimper";930741
"Quimperlé";282471
"Quincieux";61463
"Réaumont - Saint-Cassien";107775
"Réding";43180
"Régny";40141
"Rémelfing";8016
"Rémilly";210344
"Rémy";8298
"Rabastens - Coufouleux";144717
"Raedersheim";48062
"Rai - Aube";25
"Raismes";43693
"Rambouillet";6318476
"Ranchot";64734
"Rang-du-Fliers - Verton - Berck";257735
"Ranguin";112138
"Ranspach";22046
"Raon-l'Étape";112500
"Rassuen";5048
"Raves - Ban-de-Laveline";1996
"Razac";3667
"Recquignies";7499
"Redon";732215
"Reichshoffen";153611
"Reignac";43920
"Reignier";50371
"Reims";3795929
"Reims Maison Blanche";50279
"Remiremont";260900
"Remise à Jorelle";577800
"Renescure";21079
"Rennes";9489086
"Rethel";332067
"Retiers";42874
"Retournac";28967
"Reuilly";18481
"Revigny";87444
"Revin";198734
"Rezé Pont Rousseau";163438
"Ria";114
"Ribécourt";99944
"Ribeauvilllé";15555
"Richwiller";0
"Riedseltz";9998
"Rieux - Angicourt";144646
"Rilly-la-Montagne";75225
"Riom - Châtel-Guyon";897523
"Ris-Orangis";1495946
"Rivarennes";18529
"Rive-de-Gier";692920
"Rives";338830
"Rivesaltes";88852
"Rixheim";196826
"Roanne";987654
"Rocamadour - Padirac";7503
"Roche-lez-Beaupré";7336
"Rochefort";439398
"Rochy-Condé";4073
"Rodez";190743
"Roeschwoog";54285
"Roeux";23640
"Rognac";367323
"Rohrbach-lès-Bitche";3011
"Roissy-en-Brie";3078046
"Rolleville";1980
"Romanèche-Thorins";38921
"Romans - Bourg-de-Péage";404604
"Rombas - Clouange";63882
"Romilly-la-Puthenaye";12321
"Romilly-sur-Seine";295041
"Romorantin Blanc Argent";87442
"Ronchamp";31517
"Ronchin";42285
"Roppenheim";12334
"Roquebrune-Cap-Martin";94882
"Roquesérière - Buzet";3204
"Rosa Parks";8564400
"Roscoff";42494
"Rosheim";206843
"Rosières";111377
"Rosières-aux-Salines";164021
"Rosny Bois Perrier";5324440
"Rosny-sous-Bois";5043743
"Rosny-sur-Seine";397676
"Rosporden";154120
"Rosult";67728
"Rothau";155852
"Roubaix";162429
"Rouen Rive Droite";5812288
"Rouessé-Vassé";1925
"Rouffach";198867
"Rougemont Chanteloup";1506600
"Rouillé";8551
"Roumazières-Loubert";6587
"Rountzenheim";29914
"Route de Launaguet";268
"Royan";223951
"Royat - Chamalières";3511
"Rozières-sur-Mouzon";49
"Rue";111580
"Ruelle";5251
"Ruffec";84986
"Ruffey";15158
"Rully";23776
"Rumilly";608609
"Ruminghem";24848
"Rungis la Fraternelle";826791
"Russ Hersbach";68658
"Sées";89100
"Sélestat";2217910
"Sénas";55157
"Séon Saint-Henri";1630
"Sérézin";183911
"Sérifontaine";6693
"Sévérac";2841
"Sévérac-le-Château";24398
"Saales";33908
"Saône";29756
"Sablé-sur-Sarthe";564503
"Saillagouse";1486
"Saillans";11756
"Saillat - Chassenon";1580
"Sain-Bel";178133
"Saincaize";1721
"Sains-du-Nord";57570
"Saint-Agnan";1206
"Saint-Agne";1105480
"Saint-Égrève Saint-Robert";58204
"Saint-Aignan - Noyers";85047
"Saint-Aigulin - La Roche-Chalais";10367
"Saint-Amand de Vendôme";5484
"Saint-Amand-les-Eaux";741941
"Saint-Amand-Montrond - Orval";56257
"Saint-Amarin";63082
"Saint-Émilion";80902
"Saint-Amour";45022
"Saint-André";17021
"Saint-André-de-Corcy";250017
"Saint-André-de-Cubzac";440505
"Saint-André-le-Gaz";139865
"Saint-Antoine";70873
"Saint-Antoine-de-Breuilh";7437
"Saint-Antoine-du-Rocher";17089
"Saint-Armel";1909
"Saint-Astier";155949
"Saint-Étienne Bellevue";125603
"Saint-Étienne Carnot";130584
"Saint-Étienne Châteaucreux";3534430
"Saint-Étienne La Terrasse";109265
"Saint-Étienne Le Clapier";60753
"Saint-Étienne-de-Montluc";86502
"Saint-Étienne-du-Rouvray";25456
"Saint-Aubin - Saint-Luperce";12809
"Saint-Aubin-sur-Scie";13336
"Saint-Aulaire";857
"Saint-Aunès";2752
"Saint-Avold";263446
"Saint-Avre - La Chambre";77236
"Saint-Ay";17740
"Saint-Béron - La Bridoire";20433
"Saint-Blaise-la-Roche Poutay";44091
"Saint-Bonnet-de-Rochefort";5468
"Saint-Brès - Mudaison";468
"Saint-Brice-sur-Vienne";472
"Saint-Brieuc";1244088
"Saint-Césaire";14727
"Saint-Chély-d'Apcher";33592
"Saint-Chéron";626435
"Saint-Chamas";93106
"Saint-Chamond";679431
"Saint-Christophe";6159
"Saint-Clément - Laronxe";25189
"Saint-Clair - Les Roches";500449
"Saint-Claude";32620
"Saint-Cloud";8383033
"Saint-Cyprien";8569
"Saint-Cyprien Arènes";288281
"Saint-Cyr";5016131
"Saint-Cyr Les Lecques - La Cadière";535107
"Saint-Cyr-en-Val la Source";72927
"Saint-Dalmas de Tende";14464
"Saint-Denis";28046467
"Saint-Denis-de-Pile";25184
"Saint-Denis-des-Murs";1816
"Saint-Denis-lès-Martel";15401
"Saint-Dié-des-Vosges";375638
"Saint-Dizier";214542
"Saint-Erme";86735
"Saint-Féliu-d'Avall";490
"Saint-Fargeau";102630
"Saint-Florent-sur-Cher";15686
"Saint-Florentin - Vergigny";67047
"Saint-Flour - Chaudes-Aigues";23778
"Saint-Fons";58404
"Saint-Gaudens";264290
"Saint-Geniès-de-Malgoirès";75078
"Saint-Genouph";1104
"Saint-Georges-d'Aurac";3965
"Saint-Georges-de-Commiers";2083
"Saint-Georges-de-Luzençon";1007
"Saint-Georges-de-Reneins";59194
"Saint-Geours";9751
"Saint-Germain - Saint-Rémy";2
"Saint-Germain-au-Mont-d'Or";373570
"Saint-Germain-des-Fossés";116894
"Saint-Germain-du-Puy";7902
"Saint-Germain-en-Laye Bel-Air - Fourqueux";243000
"Saint-Germain-en-Laye Grande Ceinture";124207
"Saint-Germain-les-Belles";13004
"Saint-Germain-sur-Ille";40521
"Saint-Gervais-les-Bains Le Fayet";345856
"Saint-Gildas-des-bois";47966
"Saint-Gilles Lycée Haut-Rhin";62013
"Saint-Gilles-Croix-de-Vie";105615
"Saint-Gratien";2689439
"Saint-Hilaire";205
"Saint-Hilaire - Brizambourg";316
"Saint-Hilaire - Saint-Nazaire";73425
"Saint-Hilaire-au-Temple";345
"Saint-Hilaire-de-Chaléons";19155
"Saint-Hilaire-de-Riez";34437
"Saint-Jacques-de-la-Lande";7915
"Saint-Jean-d'Angély";41390
"Saint-Jean-de-Losne";50431
"Saint-Jean-de-Luz - Ciboure";339083
"Saint-Jean-de-Maurienne Arvan";316985
"Saint-Jean-de-Verges";3117
"Saint-Jean-Pied-de-Port";54546
"Saint-Jodard";12696
"Saint-Jory";155308
"Saint-Joseph le Castellas";14151
"Saint-Julien - Clénay";28594
"Saint-Julien-du-Sault";28495
"Saint-Julien-en-Genevois";176530
"Saint-Junien";21538
"Saint-Just-en-Chaussée";538465
"Saint-Léger-sur-Dheune";5232
"Saint-Léon-sur-l'Isle";16443
"Saint-Léonard";12313
"Saint-Léonard-de-Noblat";43013
"Saint-Lô";210099
"Saint-Laurent - Gainneville";39358
"Saint-Laurent-d'Aigouze";647
"Saint-Laurent-de-la-Prée - Fouras";37595
"Saint-Laurent-du-Var";970274
"Saint-Laurent-en-Grandvaux";17453
"Saint-Leu-d'Esserent";56361
"Saint-Leu-la-Forêt";2301589
"Saint-Lothain";4489
"Saint-Loubès";64613
"Saint-Louis";1190267
"Saint-Louis la Chaussée";59651
"Saint-Louis les Aygalades";78
"Saint-Médard-d'Eyrans";53111
"Saint-Médard-de-Guizières";41114
"Saint-Médard-sur-Ille";43477
"Saint-Macaire";12037
"Saint-Maixent-L'École";201758
"Saint-Malo";1162566
"Saint-Mammès";344364
"Saint-Marcel";52337
"Saint-Marcel en Dombes";75858
"Saint-Marcellin";533705
"Saint-Mariens - Saint-Yzan";126998
"Saint-Mars-la-Brière";16071
"Saint-Martin d'Étampes";599421
"Saint-Martin du Touch";8435
"Saint-Martin-d'Oney";39972
"Saint-Martin-de-Crau";140065
"Saint-Martin-du-Mont";3849
"Saint-Martin-du-Vivier";5583
"Saint-Martin-le-Beau";46064
"Saint-Martory";3906
"Saint-Mathurin";100269
"Saint-Maurice-de-Beynost";183623
"Saint-Michel - Valloire";96261
"Saint-Michel Notre-Dame";27469800
"Saint-Michel-sur-Meurthe";3562
"Saint-Michel-sur-Orge";3245524
"Saint-Nabord";5094
"Saint-Nazaire";913618
"Saint-Nom-la-Bretèche Forêt de Marly";1280037
"Saint-Omer";913567
"Saint-Omer-en-Chaussée";8693
"Saint-Ouen";4125632
"Saint-Ouen-l'Aumône";1740720
"Saint-Ouen-l'Aumône Liesse";1836739
"Saint-Ouen-l'Aumône Quartier de l'Église";438417
"Saint-Pé-de-Bigorre";1608
"Saint-Péray";1725
"Saint-Paterne";14218
"Saint-Patrice";8343
"Saint-Paul-de-Varax";88960
"Saint-Piat";177962
"Saint-Pierre-d'Albigny";122623
"Saint-Pierre-d'Aurillac";7121
"Saint-Pierre-de-Chignac";393
"Saint-Pierre-des-Corps";2740784
"Saint-Pierre-du-Vauvray";2160
"Saint-Pierre-en-Faucigny";68870
"Saint-Pierre-la-Cour";61034
"Saint-Pierre-le-Moûtier";7987
"Saint-Pierre-Quiberon";4279
"Saint-Pierre-sur-Dives";36575
"Saint-Pol-de-Léon";14286
"Saint-Pol-sur-Ternoise";192151
"Saint-Priest";127078
"Saint-Priest-Taurion";23187
"Saint-Quentin";1136380
"Saint-Quentin en Yvelines - Montigny-le-Bretonneux";13535022
"Saint-Quentin-Fallavier";199397
"Saint-Rémy La Vanne";5401
"Saint-Rambert-d'Albon";295993
"Saint-Rambert-en-Bugey";13539
"Saint-Raphaël Valescure";1524979
"Saint-Remy-en-l'Eau";310
"Saint-Roch";66478
"Saint-Romain-de-Popey";20927
"Saint-Romain-le-Puy";41196
"Saint-Rome-de-Cernon";2114
"Saint-Sébastien";4853
"Saint-Sébastien Frêne Rond";24975
"Saint-Sébastien Pas Enchantés";31540
"Saint-Saturnin-lès-Avignon";51276
"Saint-Savinien";16254
"Saint-Saviol";34853
"Saint-Senoux - Pléchâtel";17055
"Saint-Seurin-sur-l'Isle";122300
"Saint-Sever";75
"Saint-Siméon";5400
"Saint-Sulpice";460349
"Saint-Sulpice - Auteuil";149670
"Saint-Sulpice - Izon";51528
"Saint-Sulpice-Laurière";38790
"Saint-Symphorien-de-Marmagne";94
"Saint-Thégonnec";662
"Saint-Vallier sur Rhône";283509
"Saint-Victor";16633
"Saint-Victor - Thizy";21616
"Saint-Victurnien";3231
"Saint-Vincent le Château";6262
"Saint-Vincent-de-Tyrosse";160023
"Saint-Vit";156702
"Saint-Yrieix";26926
"Sainte-Anne";6836
"Sainte-Bazeille";2055
"Sainte-Cécile-d'Andorge";989
"Sainte-Colombe";16285
"Sainte-Colombe Septveilles";124206
"Sainte-Eulalie - Carbon-Blanc";17243
"Sainte-Foy-la-Grande";185551
"Sainte-Gauburge";3818
"Sainte-Geneviève-des-Bois";3882730
"Sainte-Léocadie";33
"Sainte-Lizaigne";1785
"Sainte-Marguerite";11
"Sainte-Marthe en Provence";70551
"Sainte-Maure - Noyant";91676
"Sainte-Menehould";595
"Sainte-Pazanne";168590
"Saintes";458572
"Saléchan - Siradan";325
"Salbris";189823
"Sallanches - Combloux - Megève";328792
"Sallaumines";12325
"Salles-Courbatiès";1872
"Salomé";16219
"Salon";453667
"Salses";14093
"Sannois";3014064
"Sanry-sur-Nied";9065
"Santenay les Bains";5797
"Santes";50670
"Santeuil - Le Perchay";37835
"Sarcelles - Saint-Brice";5381989
"Sarlat";52739
"Sarliève - Cournon";37741
"Sarralbe";4341
"Sarrance";1261
"Sarre-Union";124435
"Sarrebourg";720034
"Sarreguemines";412688
"Sarreinsming";2799
"Sartrouville";10908313
"Sathonay - Rillieux";291161
"Saubusse";6186
"Saujon";55238
"Saulon";12799
"Saulxures";2777
"Saumur";687976
"Sausset-les-Pins";120838
"Sauto";30
"Sauveterre-la-Lémance";943
"Savenay";504540
"Savennières - Béhuard";54834
"Saverdun";171034
"Saverne";1204206
"Savigny-le-Temple - Nandy";3815686
"Savigny-sur-Orge";7668173
"Savonnières";3417
"Savy-Berlette";35025
"Sète";1126028
"Sèvres - Ville-d'Avray";2312463
"Sèvres Rive Gauche";2835770
"Sceaux - Boëssé";9495
"Scherwiller";5330
"Schirmeck - La Broque";316986
"Schopperten";17754
"Schweighouse-sur-Moder";16061
"Schwindratzheim";83536
"Seclin";275290
"Sedan";302136
"Selles-Saint-Denis";14086
"Selles-sur-Cher";26671
"Seltz";44810
"Sennecey-le-Grand";29404
"Senozan";5546
"Sens";1184638
"Sept-Saulx";5836
"Septèmes";107902
"Serdinya";80
"Sermaise";118807
"Sermizelles - Vézelay";8865
"Serqueux";74110
"Serquigny";29418
"Serres";53192
"Servas - Lent";75839
"Servon";95309
"Servoz";12565
"Sessenheim";87386
"Seugy";54005
"Seurre";53388
"Sevenans";0
"Sevran - Livry";5228294
"Sevran Beaudottes";7730936
"Seyssel - Corbonod";66343
"Sierck-les-Bains";2232
"Sierentz";256527
"Sillé-le-Guillaume";122738
"Sillery";406
"Simandre-sur-Suran";14491
"Simiane";286629
"Sin-le-Noble";65261
"Siorac-en-Périgord";6593
"Sisteron";140981
"Soissons";627459
"Solignac - Le Vigen";1900
"Solliès-Pont";136903
"Somain";361123
"Sommery";3868
"Sorgues - Châteauneuf-du-Pape";460049
"Sospel";95405
"Sotteville";18920
"Souillac";111331
"Soulac-sur-Mer";36679
"Soultz-sous-Forêts";191247
"Souppes - Château-Landon";1016665
"Sous le Bois";334
"Stade de France Saint-Denis";10399144
"Staffelfelden";68285
"Stains la Cerisaie";815400
"Steenbecque";895
"Steenwerck";43889
"Steinbourg";67963
"Stephansfeld";43221
"Strasbourg";19423501
"Strasbourg Roethig";57416
"Strazeele";49485
"Suèvres";61
"Sucé-sur-Erdre";214996
"Suippes";1333
"Surdon";36225
"Suresnes Mont Valérien";2552479
"Surgères";355092
"Survilliers - Fosses";7183261
"Sury-le-Comtal";20035
"Tacoignières - Richebourg";175048
"Taconnaz";3699
"Tagolsheim";3817
"Taillebourg";453
"Tain-l'Hermitage - Tournon";469810
"Tantonville";424
"Tanus";1695
"Tarare";532259
"Tarascon";352811
"Tarascon-sur-Ariège";51959
"Tarbes";488357
"Tassin";274695
"Taverny";1502511
"Teillé";5968
"Templeuve";650419
"Tenay - Hauteville";33915
"Tende";34645
"Tergnier";471643
"Terrasson";26198
"Tessonnières";3275
"Teting";1846
"TGV Haute Picardie";377924
"Théoule-sur-Mer";16332
"Thésée";4384
"Thézy-Glimont";13471
"Thann";166508
"Thann Centre";27435
"Thann Saint-Jacques";160541
"Thaon";243683
"Theillay";15054
"Thenissey";5167
"Thenon";10368
"Thiaville";3181
"Thiennes";2154
"Thiers";48847
"Thieux - Nantouillet";21648
"Thionville";2976366
"Thiviers";121352
"Thomery";156934
"Thonon-les-Bains";502491
"Thouaré";26013
"Thouars";49413
"Thourotte";53089
"Thuès Carença";1930
"Thuès les Bains";363
"Thun le Paradis";335010
"Tieffenbach - Struth";60852
"Tiercé";145084
"Tillières-sur-Avre";0
"Tincques";18074
"Tonnay-Charente";13460
"Tonneins";167823
"Tonnerre";137246
"Torfou";9836
"Torpes - Boussières";1492
"Total";2591307045
"Touët-de-l'Escarène";9100
"Toul";257376
"Toulon";5012280
"Toulouse Matabiau";9788574
"Tourcoing";1047658
"Tournan";2003589
"Tournay";18985
"Tournemire - Roquefort";499
"Tournus";264535
"Tours";4633294
"Tourville";1185
"Toury";101372
"Trégonneau - Squiffiec";828
"Trélazé";0
"Trémolat";4473
"Tracy Sancerre";12675
"Traou Nez";203
"Trappes";3761668
"Trentels Ladignac";1057
"Tressin";45
"Tricot";55217
"Trie-Château";18210
"Triel-sur-Seine";563343
"Trilport";1191325
"Trith-Saint-Léger";9166
"Trois Chênes";20775
"Trois-Puits";145
"Tronsanges";5034
"Trouville - Deauville";734776
"Troyes";1017430
"Tulle";152351
"Tullins Fures";349231
"Turckheim";49475
"Turenne";585
"Uchaud";1729
"Uckange";397491
"Ur les Escaldes";81
"Urçay";5286
"Urmatt";130478
"Urt";2325
"Us";136467
"Ussel";54780
"Ustaritz";2770
"Uzerche";77571
"Vélines";49993
"Vénissieux";173273
"Véretz - Montlouis";25284
"Vézelise";10559
"Vaas";9385
"Vaires - Torcy";2053083
"Val d'Argenteuil";5261580
"Val de Fontenay";16922056
"Val-de-Reuil";528127
"Val-de-Vesle";15922
"Valençay";18839
"Valence";1960423
"Valence d'Agen";60391
"Valence TGV Rhône-Alpes Sud";2269552
"Valenciennes";3231057
"Valergues - Lansargues";10225
"Valleiry";36045
"Valleroy - Moineville";6264
"Vallon-en-Sully";32840
"Vallorcine";8225
"Valmondois";853993
"Valognes";244974
"Vandières";6031
"Vannes";1428572
"Vanves - Malakoff";1351400
"Varades - Saint-Florent-le-Vieil";97251
"Varangéville - Saint-Nicolas";292613
"Varennes-sur-Allier";94340
"Varennes-sur-Fouzon";3523
"Varetz";2338
"Varilhes";43362
"Vauboyen";233175
"Vaucelles";577824
"Vaucresson";1620501
"Vaudagne";46
"Vaulry";22
"Vaumoise";886
"Vauvert";2144
"Vaux-sur-Seine";373104
"Vauxaillon";7307
"Vauzelles";1406
"Vayrac";10
"Vayres";23576
"Veauche - Saint-Galmier";96092
"Veigné";16681
"Velars";4195
"Vendôme";61764
"Vendôme - Villiers-sur-Loir";490806
"Vendenheim";101808
"Vendeuvre";38530
"Venerque - Le Vernet";196406
"Verdun";129382
"Vergèze - Codognan";247370
"Vermenton";4917
"Vern";6678
"Vernaison";81077
"Verneuil-l'Étang";567163
"Verneuil-sur-Avre";116280
"Verneuil-sur-Serre";4334
"Verneuil-sur-Vienne";1
"Vernon - Giverny";1840201
"Vernou-sur-Seine";54047
"Vernouillet - Verneuil";2501847
"Verrey";24613
"Versailles Château Rive Gauche";6458982
"Versailles Chantiers";24115694
"Versailles Rive Droite";4965189
"Versigny";4262
"Vert Galant";7512279
"Vertaizon";138216
"Vertou";120464
"Vervins";57549
"Verzeille";356
"Vesoul";326678
"Veuves - Monteaux";7828
"Veynes Dévoluy";169997
"Viaduc sainte-Marie";1055
"Viarmes";259289
"Vias";5704
"Vic - Mireval";16083
"Vic-le-Comte";215732
"Vic-sur-Cère";11801
"Vichy";1258437
"Vidauban";14497
"Vieilleville";2819
"Vielmur-sur-Agout";20719
"Vienne";1600946
"Vierzon";707816
"Vierzon Forges";1530
"Vierzy";260
"Viescamp-sous-Jallès";0
"Vieux-Thann";169322
"Vieux-Thann Zone Industrielle";20815
"Vievola";116
"Vif";6809
"Vigeois";8161
"Vigneux-sur-Seine";5902516
"Vignols - Saint-Solve";373
"Vignory";4116
"Villabé";210619
"Villaines";86404
"Villars-les-Dombes";494339
"Villedieu-les-Poêles";76075
"Villefort";10287
"Villefranche - Vernet-les-Bains";147181
"Villefranche-de-Lauragais";222446
"Villefranche-de-Rouergue";71769
"Villefranche-du-Périgord";3084
"Villefranche-sur-Cher";22414
"Villefranche-sur-Mer";544786
"Villefranche-sur-Saône";2175183
"Villefranque";39
"Villeherviers";10664
"Villenave-d'Ornon";8776
"Villeneuve Triage";1328460
"Villeneuve-la-Comtesse";1548
"Villeneuve-la-Guyard";129087
"Villeneuve-lès-Maguelone";14115
"Villeneuve-le-Roi";1560851
"Villeneuve-Loubet";407826
"Villeneuve-Saint-Georges";14889829
"Villeneuve-sur-Allier";190
"Villeneuve-sur-Yonne";46170
"Villennes-sur-Seine";637400
"Villenouvelle";15655
"Villeparisis - Mitry-le-Neuf";3532804
"Villeperdue";40080
"Villepinte";1789620
"Villepreux - Les Clayes";2029204
"Villereversure";5210
"Villers sur Thère";0
"Villers-Bretonneux";153442
"Villers-Cotterêts";392093
"Villers-les-Pots";6989
"Villers-Saint-Paul";72065
"Villers-Saint-Sépulcre";10205
"Villers-sur-Mer";6948
"Villetaneuse Université";1971000
"Villiers - Neauphle - Pontchartrain";725575
"Villiers Montbarbin";48601
"Villiers-le-Bel - Gonesse - Arnouville";10786438
"Villiers-sur-Marne - Le Plessis-Trévise";7808519
"Vimy";15783
"Vinça";1348
"Vinay";148935
"Vincelles";4222
"Vincey";19685
"Vions - Chanaz";6661
"Vire";77094
"Vireux-Molhain";55266
"Virieu sur Bourbre";15848
"Virieu-le-Grand - Belley";65680
"Viroflay Rive Droite";1318707
"Viroflay Rive Gauche";4339498
"Virville - Manneville";2391
"Viry-Châtillon";1571529
"Viry-Noureuil";278
"Vis à Marles";36864
"Vitré";751693
"Vitrolles Aéroport Marseille Provence";730533
"Vitry-en-Artois";95879
"Vitry-le-François";218668
"Vitry-sur-Seine";4272795
"Vittel";59875
"Viviers-du-Lac";7661
"Viviez - Decazeville";17699
"Vivoin - Beaumont";43322
"Vivonne";37415
"Voiron";1267345
"Voivres";24988
"Volvic";9177
"Vonnas";93489
"Voreppe";280218
"Vorey";24149
"Vosves";32400
"Vougeot - Gilly-lès-Cîteaux";32244
"Voujeaucourt";11010
"Voutenay";62
"Voutré";9061
"Voves";31425
"Voyenne";3713
"Vraincourt";6653
"Vrigne-Meuse";5990
"Vulaines-sur-Seine - Samoreau";48604
"Wacquemoulin";5399
"Walbach";6960
"Walbourg";39016
"Walheim";6420
"Wallers";32283
"Walygator parc";5566
"Wambaix";116
"Wambrechies";1093
"Watten - Éperlecques";101731
"Wattignies - Templemars";61801
"Wavrin";100801
"Wesserling";42005
"Weyersheim";155940
"Wihr-au-Val - Soultzbach";41442
"Willer-sur-Thur";38078
"Wilwisheim";33171
"Wimille - Wimereux";49877
"Wingen-sur-Moder";130778
"Wisches";100372
"Wissembourg";200494
"Wittring";9824
"Woelfling-lès-Sarreguemines";8
"Woincourt";11946
"Woippy";117181
"Xertigny";978
"Xeuilley";3770
"Ychoux";106721
"Yerres";3564392
"Yffiniac";33218
"Ygos";29842
"Ytrac";25
"Yutz";1300
"Yvetot";912499
"Zetting";17152
"Zillisheim";33693
"Zu Rhein";0
