"Name";"Total Passengers 2017"
"Gaillon - Aubevoye";534098
"Gallargues";6154
"Gallieni Cancéropôle";61229
"Galuzot";2353
"Gambsheim";180798
"Gan";2428
"Gandrange - Amnéville";3582
"Gannat";91936
"Gannes";2268
"Gap";762710
"Garancières - La Queue";308198
"Garches - Marnes-la-Coquette";1625853
"Garchizy";17
"Gardanne";1063728
"Gardonne";43942
"Gare routière de Digne les Bains";16354
"Gare routière de La-Voulte-sur-Rhône";1028
"Gargan";2732407
"Gargenville";309794
"Garges - Sarcelles";14812515
"Gauriaguet";31980
"Gazeran";2261838
"Gazinet Cestas";313597
"Geispolsheim";69622
"Gemeaux";22008
"Genech";248
"Genlis";239359
"Gennevilliers";2084989
"Germaine";19527
"Gertwiller";25665
"Gerzat";28305
"Gestel";6297
"Gevrey-Chambertin";99127
"Gièvres";50017
"Gien";122599
"Gignac - Cressensac";859
"Gilley";16797
"Gilly-sur-Loire";4186
"Gimont Cahuzac";56400
"Gironde";2468
"Gisors";416841
"Givet";89892
"Givors";882916
"Givors Canal";43162
"Glos - Montfort";772
"Golfe Juan Vallauris";500106
"Golfech";565
"Goncelin";347835
"Gonfaron";47523
"Gorges";101517
"Gourdon";97642
"Gourland";1077
"Gournay - Ferrières";13090
"Goussainville";4490778
"Goxwiller";33214
"Grésy-sur-Aix";65581
"Grésy-sur-Isère";14507
"Graffenstaden";28912
"Graffenwald";74564
"Gragnague";13242
"Gramat";14967
"Grand Bourg";415847
"Grand-Combe la Pise";24844
"Grande-Synthe";7128
"Grandvillars";0
"Grandvilliers";51799
"Granville";214622
"Grasse";433476
"Gravelines";27182
"Gravigny Balizy";529243
"Grenoble";7598913
"Grenoble Universités - Gières";669313
"Gresswiller";155246
"Gretz-Armainvilliers";874834
"Grigny Centre";5367921
"Grigny le Sablon";71346
"Grisolles";94720
"Groisy - Thorens - La Caille";77444
"Gros Noyer Saint-Prix";1625840
"Groslay";1496820
"Guérard - La Celle-sur-Morin";70212
"Guéret";86991
"Guéthary";21329
"Gudmont";2071
"Guichen - Bourg-des-Comptes";131226
"Guignicourt";137618
"Guillerval";369
"Guillerval Centre";21600
"Guimiliau";3890
"Guingamp";542923
"Gujan-Mestras";386837
"Gundershoffen";64761
"Gunsbach - Griesbach";23058
"Héming";139
"Hénin-Beaumont";525351
"Héricourt";142340
"Héricy";54020
"Habsheim";228013
"Hachette";5
"Hagondange";1070785
"Haguenau";1656723
"Halsou - Larressore";28
"Halte de Fontanil – Lycée de Drap";245329
"Haluchère Batignolles";92614
"Ham";129264
"Ham-en-Artois";3193
"Hangest-sur-Somme";39105
"Harfleur";4577
"Harfleur Halte";4857
"Hargarten-Falck";588
"Hargicourt - Pierrepont";17001
"Hasenrain";566
"Hatrize";1279
"Haubourdin";71486
"Haussmann Saint-Lazare";44647200
"Hautmont";79179
"Hayange";9869
"Haybes";30012
"Hazebrouck";1680029
"Heiligenberg - Mollkirch";25236
"Heilles - Mouchy";4159
"Heilly";4278
"Hellemmes";2675
"Hendaye";358245
"Hennebont";108597
"Herbitzheim";56582
"Herblay";3220654
"Herchies";7492
"Hermes - Berthecourt";96642
"Herny";10210
"Herrlisheim";155458
"Herrlisheim-près-Colmar";56493
"Hesdigneul";27056
"Hesdin";36146
"Hettange-Grande";532945
"Hirson";106909
"Hirson Écoles";51563
"Hochfelden";218004
"Hoelschloch";18232
"Hoenheim Tram";72582
"Hoerdt";198375
"Hoffen";6809
"Holtzheim";3
"Homécourt";31139
"Hombourg-Budange";507
"Hombourg-Haut";9174
"Houdan";1378299
"Houdemont";5519
